date,portfolio_value,daily_return_pct,cumulative_return_pct,cash,sm_price,sm_value,kos_price,kos_value,mo_price,mo_value,xle_price,xle_value,rgld_price,rgld_value,fcx_price,fcx_value,notes
2026-02-17,97403.00,-2.60,-2.60,5130.00,20.50,21320.00,1.58,18922.08,65.80,17568.60,53.00,14681.00,272.76,11728.68,58.50,7722.00,"Day 1 - Market dip across energy sector"
2026-02-18,99320.08,1.97,-0.68,5130.00,21.68,22547.20,1.58,18922.08,66.54,17766.18,53.75,14888.75,279.07,12000.01,61.10,8065.86,Auto-update 10:04
2026-02-18,99320.08,-0.00,-0.68,5130.00,21.68,22547.20,1.58,18922.08,66.54,17766.18,53.75,14888.75,279.07,12000.01,61.10,8065.86,Auto-update 10:06
